filename,evaluation_date,total_evaluation_time,read_image_time,segmentation_time,m1_time,m1_0,m2_time,m2_0,m3_time,m3_0,m4_time,m4_0,m5_time,m5_0,m6_time,m6_0,m7_time,m7_0,m8_time,m8_0,m9_time,m10_time,m10_0,m11_time,m11_0,m12_time,m12_0,m13_time,m13_0,m14_time,m14_0,m14_1,m14_2,m14_3,m14_4,m14_5,m15_time,m15_0,m16_time,m16_0,m16_1,m16_2,m16_3,m16_4,m17_time,m17_0,m17_1,m17_2,m18_time,m18_0,m18_1,m19_time,m19_0,m20_time,m20_0,m21_time,m21_0,m21_1,m21_2,m21_3,m21_4,m21_5,m21_6,m21_7,m21_8,m21_9,m22_time,m22_0,m23_time,m24_time,m25_time,m30_time
104.com.tw.png,2023-06-10,291.6292,0.0102,14.1266,0.0002,525630,0.0555,126002,0.0721,4609,0.0491,0.0488,0.0687,0.5357,13.3008,0.7403,19.3343,3.4766,25.3749,5.7722,7.5937,2.11,0.5153,0.1561,1825,13.4659,246,0.0732,62.8492,0.2789,86.0788,23.5851,-1.4958,13.3141,4.418,12.8813,0.085,44.4702,4.5665,19.5602,0.1086,0.1877,0.8839,0.2307,0.0826,77,74,80,0.1729,4.2075,1.8469,13.2784,13.0366,164.9441,4171.2054,0.0089,27,23,69,59,15,12,0.1594,0.1594,11,8,0.0018,0.4199,1.1935,1.3904,0.0,9.7948
1337x.to.png,2023-06-10,297.3694,0.0376,6.54,0.0002,616238,0.0632,96246,0.0585,2259,0.0516,0.0196,0.0974,0.7225,13.0557,0.5104,19.9041,1.9328,25.3919,2.5154,11.5962,3.7416,0.7885,0.0677,415,1.898,104,0.0782,34.8864,0.2563,12.5508,15.4609,5.4264,11.9507,5.2736,11.6835,0.0814,44.1233,4.5631,4.4912,0.1795,0.2832,0.1674,0.2033,0.0784,11,99,81,0.2031,4.9704,1.7503,1.9684,16.4712,182.0937,0.0,0.0113,30,27,82,71,19,16,0.0567,0.0567,12,12,0.0015,0.7399,1.7472,1.4802,0.0,22.2455
163.com.png,2023-06-10,310.0521,0.0092,13.3724,0.0001,564082,0.0561,111125,0.09,6282,0.0485,0.045,0.0687,0.5826,13.4958,0.7494,19.3872,3.3251,25.5107,5.19,10.5462,3.0294,0.5225,0.2591,2414,19.2858,329,0.0759,77.3425,0.2597,82.5961,29.5539,1.1114,7.1405,0.5282,7.292,0.0935,26.4456,4.508,358.2563,0.062,0.156,0.8363,0.2878,0.081,65,79,123,0.198,5.8093,1.8743,18.9662,14.1489,163.8847,222.9332,0.0128,43,37,113,96,33,29,0.0973,0.0919,18,17,0.0016,0.504,1.2744,1.4468,0.0,14.0493
1688.com.png,2023-06-11,310.533,0.0104,11.7603,0.0001,539788,0.0562,111477,0.0931,6160,0.0481,0.0409,0.0697,0.6353,13.0633,0.6972,19.4487,3.3584,25.8452,5.1381,11.9522,4.0218,0.4943,0.1962,2140,17.0421,323,0.0739,64.8691,0.2619,84.6672,22.6353,9.0999,20.1537,5.4549,14.6055,0.0855,68.8415,4.5052,1.6013,0.1394,0.269,0.8997,0.1825,0.0794,61,78,75,0.1945,5.8706,1.9178,17.1959,14.1486,165.5208,274.737,0.0165,46,43,113,107,28,25,0.0336,0.0336,15,13,0.002,0.5251,1.281,1.5139,0.0,16.1472
17ok.com.png,2023-06-10,354.6648,0.0065,7.0948,0.0002,851816,0.0659,113215,0.1071,12608,0.0609,0.0427,0.0788,0.6656,14.2974,0.6912,19.2914,3.5593,24.9334,5.6102,9.7774,2.0908,0.6334,0.2985,2419,44.6973,597,0.0846,66.7774,0.2878,69.5022,24.3812,14.9014,23.5118,11.6933,29.0618,0.0964,111.7416,4.542,357.9924,0.3901,0.3152,0.8416,0.2271,0.0995,47,181,111,0.189,4.955,1.9368,44.0636,18.0385,167.2482,256.9161,0.0123,26,16,82,48,24,15,0.0084,0.0044,12,9,0.002,0.2413,1.5846,1.5088,0.0,12.1122
360.cn.png,2023-06-11,314.6092,0.0204,9.5916,0.0001,521776,0.0555,84303,0.0682,6437,0.0538,0.0282,0.0665,0.6058,13.2303,0.6233,20.1944,2.8639,25.3917,3.7393,12.6762,3.5306,0.6287,0.1228,1189,19.4015,331,0.0763,110.5651,0.2972,54.7753,43.7424,-4.801,11.4808,0.2692,10.2613,0.1041,39.3457,4.4892,139.0165,0.3706,0.3587,0.569,0.4268,0.084,63,75,106,0.176,4.9192,1.8372,18.9202,14.5015,166.1877,3397.0818,0.0185,40,39,103,100,26,25,0.0668,0.0668,14,13,0.0024,0.6087,1.3576,1.4072,0.0,17.0062
360doc.com.png,2023-06-10,304.7333,0.006,15.4618,0.0001,567178,0.0591,126814,0.0712,6476,0.0541,0.0468,0.0696,0.5724,13.6357,0.7988,19.6591,3.3598,25.7994,5.3832,8.2037,3.183,0.467,0.1286,1046,18.0383,260,0.0839,43.8237,0.3803,92.8473,16.3996,-0.28,4.1823,2.5599,7.5303,0.088,19.6502,4.643,10.3041,0.043,0.1102,0.9328,0.1603,0.0852,34,78,75,0.1717,5.4614,1.8835,17.7982,19.3962,164.7092,261.228,0.0139,40,39,113,110,26,25,0.1103,0.1103,18,17,0.0023,0.5495,1.189,1.4424,0.0,9.7237
51.la.png,2023-06-11,315.243,0.0112,12.3808,0.0002,441466,0.0532,111800,0.0714,4405,0.0472,0.0408,0.0668,0.5679,13.3352,0.7657,20.5311,3.2932,25.6857,4.9714,13.7655,3.2418,0.5326,0.1137,1594,17.1631,227,0.0768,72.4228,0.2674,85.2098,26.9866,3.6386,14.2155,-4.8248,18.1097,0.0849,51.2049,4.7529,342.7698,0.1526,0.2868,0.9022,0.2141,0.0794,40,85,71,0.1846,4.1697,1.7791,16.746,10.1454,166.9128,505.5674,0.0142,43,33,113,86,29,22,0.1195,0.1157,19,15,0.0016,0.5361,1.1858,1.3877,0.0,17.0284
51sole.com.png,2023-06-09,379.3223,0.0214,13.8577,0.0002,939853,0.0774,130198,0.0959,9818,0.067,0.0481,0.0894,0.576,15.3207,0.6972,22.6103,3.7428,29.143,5.4665,8.238,3.7616,0.4767,0.2369,2036,36.8889,464,0.1044,48.4898,0.313,89.1326,17.4377,4.9597,12.9727,1.6468,9.9092,0.117,43.7738,5.3958,355.2625,0.0904,0.1688,0.9295,0.1466,0.1199,74,92,74,0.2127,5.5093,1.8438,37.6512,17.2672,189.8786,3889.2817,0.0271,50,42,116,102,26,21,0.047,0.0288,14,9,0.0016,0.3688,1.7268,1.7647,0.0,11.5549
51yes.com.png,2023-06-10,299.2694,0.0375,11.9217,0.0003,420476,0.0542,117092,0.0665,2609,0.0489,0.0464,0.0664,0.6681,13.6117,0.7989,19.2973,3.2969,25.2957,5.271,11.1107,3.2895,0.5149,0.1264,2457,11.4691,92,0.0818,55.907,0.2788,87.3049,20.2095,0.6758,12.9263,7.451,18.8377,0.0846,54.0273,4.4895,7.9092,0.1578,0.2106,0.9046,0.1712,0.085,53,48,85,0.168,4.3659,1.8036,11.0882,9.5543,169.4708,5319.1648,0.0081,6,5,22,18,5,4,0.1526,0.1526,5,4,0.002,0.4477,1.1726,1.3458,0.0,14.5471
